"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-11-05 12:39:45","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","20","37","4","66","",""
"2016-11-05 12:39:49","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","30","5","69","",""
"2016-11-05 12:39:52","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","48","4","49","",""
"2016-11-05 12:39:55","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","37","5","51","",""
"2016-11-05 12:39:59","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","8","52","5","52","",""
"2016-11-05 12:40:02","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","44","3","59","",""
"2016-11-05 12:40:05","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","47","5","79","",""
"2016-11-05 12:40:25","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","6","81","4","92","",""
"2016-11-05 12:40:28","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","72","3","93","",""
"2016-11-05 12:40:33","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","82","5","70","",""
"2016-11-05 12:40:37","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","70","5","73","",""
"2016-11-05 12:40:41","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","91","4","103","",""
"2016-11-05 12:40:45","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","90","4","104","",""
"2016-11-05 12:40:48","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","79","4","95","",""
"2016-11-05 12:40:52","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","80","3","101","",""
"2016-11-05 12:40:56","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","67","2","82","",""
"2016-11-05 12:41:00","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","74","5","77","",""
"2016-11-05 12:41:04","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","80","4","97","",""
"2016-11-05 12:41:07","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","87","3","104","",""
"2016-11-05 12:41:11","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","78","5","79","",""
"2016-11-05 12:41:15","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","97","4","112","",""
"2016-11-05 12:41:19","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","83","2","80","",""
"2016-11-05 12:41:23","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","11","79","4","100","",""
"2016-11-05 12:41:26","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","14","93","4","106","",""
"2016-11-05 12:41:29","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","19","83","4","102","",""
"2016-11-05 12:41:32","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","64","-8","65","",""
"2016-11-05 12:41:36","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","63","3","71","",""
"2016-11-05 12:41:39","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","90","4","73","",""
"2016-11-05 12:41:42","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","81","3","85","",""
"2016-11-05 12:41:45","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","88","5","96","",""
"2016-11-05 12:41:49","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","69","1","63","",""
"2016-11-05 12:41:53","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","75","3","90","",""
"2016-11-05 12:41:57","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","87","4","104","",""
"2016-11-05 12:42:00","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","80","-7","67","",""
"2016-11-05 12:42:04","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","79","4","75","",""
"2016-11-05 12:42:08","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","80","3","76","",""
"2016-11-05 12:42:14","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","77","4","98","",""
"2016-11-05 12:42:18","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","90","5","88","",""
"2016-11-05 12:42:21","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","82","5","86","",""
"2016-11-05 12:42:24","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","79","4","94","",""
"2016-11-05 12:42:27","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","18","91","3","87","",""
"2016-11-05 12:42:30","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","14","77","3","94","",""
"2016-11-05 12:42:33","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","19","84","5","108","",""
"2016-11-05 12:42:37","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","65","3","82","",""
"2016-11-05 12:42:39","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","91","-2","80","",""
"2016-11-05 12:42:42","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","85","4","107","",""
"2016-11-05 12:42:45","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","68","3","68","",""
"2016-11-05 12:42:48","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","19","89","4","80","",""
"2016-11-05 12:42:52","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","5","58","-2","47","",""
"2016-11-05 12:42:56","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","72","-6","67","",""
"2016-11-05 12:43:00","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","86","3","86","",""
"2016-11-05 12:43:03","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","85","3","77","",""
"2016-11-05 12:43:05","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","12","84","4","73","",""
"2016-11-05 12:43:08","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","87","4","109","",""
"2016-11-05 12:43:11","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","11","84","4","109","",""
